id,bloco,aluguel,valor_m2,area,quartos,suites,vagas,link,data_descoberta
1023086,SQN 210 Bloco C,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-210-bloco-c-1023086,seed:links.txt
945089,SQN 107,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-norte-brasilia-df-sqn-107-945089,seed:links.txt
1029822,SQN 210 Bloco I,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-210-bloco-i-1029822,seed:links.txt
187814,SQN 314 Bloco F,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-314-bloco-f-187814,seed:links.txt
1027434,SHCGN 712,,,,,,,https://www.dfimoveis.com.br/imovel/casa-4-quartos-aluguel-asa-norte-brasilia-df-shcgn-712-1027434,seed:links.txt
964759,SQN 209 Bloco K,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-norte-brasilia-df-sqn-209-bloco-k-964759,seed:links.txt
269359,SQN 111 Bloco K,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-111-bloco-k-269359,seed:links.txt
192345,SQN 316 Bloco F,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-316-bloco-f-192345,seed:links.txt
1000428,SQN 115 Bloco E,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-115-bloco-e-1000428,seed:links.txt
718856,SQN 208 Bloco A,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-norte-brasilia-df-sqn-208-bloco-a-718856,seed:links.txt
22665,SQN 106 Bloco G,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-106-bloco-g-22665,seed:links.txt
1022974,SQN 116 Bloco I,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-116-bloco-i-1022974,seed:links.txt
1018411,SQN 104 Bloco C,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-104-bloco-c-1018411,seed:links.txt
951014,SQN 116,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-116-951014,seed:links.txt
1018149,SQN 315 Bloco B,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-315-bloco-b-1018149,seed:links.txt
1017154,SQN 108 Bloco H,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-108-bloco-h-1017154,seed:links.txt
135898,SQSW 303,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-sudoeste-brasilia-df-sqsw-303-135898,seed:links.txt
301083,SQSW 102 Bloco D,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-sudoeste-brasilia-df-sqsw-102-bloco-d-301083,seed:links.txt
240069,SQSW 102 Bloco D,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-sudoeste-brasilia-df-sqsw-102-bloco-d-240069,seed:links.txt
255906,SQSW 305 Bloco A,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-sudoeste-brasilia-df-sqsw-305-bloco-a-255906,seed:links.txt
452137,SQSW 504,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-sudoeste-brasilia-df-sqsw-504-452137,seed:links.txt
997283,CCSW 1,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-sudoeste-brasilia-df-ccsw-1-997283,seed:links.txt
1016153,SQSW 103 Bloco I,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-sudoeste-brasilia-df-sqsw-103-bloco-i-1016153,seed:links.txt
618722,SQS 104 Bloco D,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-sul-brasilia-df-sqs-104-bloco-d-618722,seed:links.txt
714719,SQN 316 Bloco F,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-316-bloco-f-714719,seed:links.txt
818307,SQSW 104 Bloco E,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-sudoeste-brasilia-df-sqsw-104-bloco-e-818307,seed:links.txt
